"id","name","code","referentiecode","account_type","tag_ids","reconcile","sort_code"
"0309021","Hoofdsom leningen, voorschotten en garanties ten behoeve van gewezen bestuurders (langlopend)","0309021","BFvaOvrVgb","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.B"
"0309022","Hoofdsom leningen, voorschotten en garanties ten behoeve van commissarissen (langlopend)","0309022","BFvaOvrVoc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.C"
"0309023","Hoofdsom leningen, voorschotten en garanties ten behoeve van gewezen commissarissen (langlopend)","0309023","BFvaOvrVgc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.D"
"0309024","Hoofdsom vorderingen uit hoofde van leningen en voorschotten aan leden (langlopend)","0309024","BFvaOvrLvl","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.E"
"0309025","Hoofdsom vorderingen uit hoofde van leningen en voorschotten houders van aandelen op naam (langlopend)","0309025","BFvaOvrHva","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.F"
"0309027","Agio afkoop leningen/derivaten","0309027","BFvaOvrAga","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.L"
"0309028","Storting ivm derivaten","0309028","BFvaOvrSid","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.K"
"0309029","Hoofdsom overige financiële vaste activa (langlopend)","0309029","BFvaOvrOvl","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.J"
"0309039","Hoofdsom ledenrekeningen (langlopend)","0309039","BFvaOvrLed","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.I"
"0309050","Hoofdsom waarborgsommen (langlopend)","0309050","BFvaOvrWaa","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.H"
"0309120","Cumulatieve aflossingen en waardeverminderingen leningen, voorschotten en garanties bestuurders (langlopend)","0309120","BFvaOvrVoa","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.AA"
"0309121","Cumulatieve aflossingen en waardeverminderingen leningen, voorschotten en garanties gewezen bestuurders (langlopend)","0309121","BFvaOvrVga","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.BA"
"0309122","Cumulatieve aflossingen en waardeverminderingen leningen, voorschotten en garanties commissarissen (langlopend)","0309122","BFvaOvrVca","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.CA"
"0309123","Cumulatieve aflossingen en waardeverminderingen leningen, voorschotten en garanties gewezen commissarissen (langlopend)","0309123","BFvaOvrVaw","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.DA"
"0309124","Cumulatieve aflossingen en waardeverminderingen leningen en voorschotten aan leden (Langlopend)","0309124","BFvaOvrLvc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.EA"
"0309125","Cumulatieve aflossingen en waardeverminderingen leningen en voorschotten houders van aandelen op naam (langlopend)","0309125","BFvaOvrHvc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.FA"
"0309129","Cumulatieve aflossingen en waardeverminderingen overige financiële vaste activa (langlopend)","0309129","BFvaOvrOvc","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.JA"
"0309139","Cumulatieve aflossingen en waardeverminderingen ledenrekeningen (langlopend)","0309139","BFvaOvrLec","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.IA"
"0309150","Cumulatieve aflossingen en waardeverminderingen waarborgsommen (langlopend)","0309150","BFvaOvrWac","asset_fixed","l10n_nl_rgs.account_tag_0309000","0","D.H.HA"
"0310010","Hoofdsom te vorderen BWS-subsidies (langlopend)","0310010","BFvaSubSub","asset_fixed","l10n_nl_rgs.account_tag_0310000","0","D.J.A"
"0310020","Cumulatieve aflossingen en waardeverminderingen te vorderen BWS-subsidies (langlopend)","0310020","BFvaSubSuc","asset_fixed","l10n_nl_rgs.account_tag_0310000","0","D.J.B"
"0320010","Leningen u/g (langlopend)","0320010","BFvaLenLen","asset_fixed","l10n_nl_rgs.account_tag_0320000","0","D.K.A"
"0330010","Hoofdsom interne lening","0330010","BFvaIlgIlg","asset_fixed","l10n_nl_rgs.account_tag_0330000","0","D.L.A"
"0330020","Cumulatieve aflossing interne lening","0330020","BFvaIlgAil","asset_fixed","l10n_nl_rgs.account_tag_0330000","0","D.L.B"
"0330030","Aflossingsverplichting interne lening","0330030","BFvaIlgAvp","asset_fixed","l10n_nl_rgs.account_tag_0330000","0","D.L.A030"
"0340010","Verkrijgingsprijs netto vermogenswaarde niet-Daeb","0340010","BFvaNvmNvm","asset_fixed","l10n_nl_rgs.account_tag_0340000","0","D.M.A"
"0340020","Cumulatieve afschrijvingen en waardeverminderingen netto vermogenswaarde niet-Daeb","0340020","BFvaNvmCae","asset_fixed","l10n_nl_rgs.account_tag_0340000","0","D.M.B"
"0340030","Cumulatieve herwaarderingen netto vermogenswaarde niet-Daeb","0340030","BFvaNvmCuh","asset_fixed","l10n_nl_rgs.account_tag_0340000","0","D.M.C"
"0401010","Aandelen beursgenoteerde effecten","0401010","BEffAanAbe","asset_current","l10n_nl_rgs.account_tag_0401000","0","H.A.A"
