id,name,code,referentiecode,sort_code,rgs_allowed_journals_code,rgs_allowed_journals_type,parent_id,code_prefix_start,code_prefix_end
account_group_7007000,Inkoopkortingen en bonussen,7007000,WKprLeb,Q.J,"MISC,ACCR",purchase,account_group_70,7007,7007
account_group_7008000,Betalingskortingen,7008000,WKprBtk,Q.K,"MISC,ACCR","purchase,sale,bank",account_group_70,7008,7008
account_group_7009000,Kostprijs intercompany transacties,7009000,WKprKit,Q.L,"MISC,STJ,ACCR",purchase,account_group_70,7009,7009
account_group_7010000,Mutatie omzetvorderingen,7010000,WKprMuo,Q.M,"MISC,STJ,ACCR",purchase,account_group_70,7010,7010
account_group_7011000,Voorraadmutatie,7011000,WKprVom,Q.N,"MISC,STJ,ACCR",purchase,account_group_70,7011,7011
account_group_7012000,Privé-gebruik goederen,7012000,WKprPrg,Q.O,"MISC,STJ,ACCR",purchase,account_group_70,7012,7012
account_group_7013000,Privé-gebruik diensten,7013000,WKprPrd,Q.P,"MISC,STJ,ACCR",purchase,account_group_70,7013,7013
account_group_7101000,Inkoopwaarde agrarisch,7101000,WKprIna,Q.E,"MISC,STJ,ACCR",purchase,account_group_70,7101,7101
account_group_7200000,Kostprijs - inkoopwaarde groepen,7200000,WKprGrp,Q.Q,"MISC,STJ,ACCR",purchase,account_group_70,7200,7200
account_group_7201000,Kostprijs van de omzet niet ingekocht bij leden (Coöperatie),7201000,WKprOni,Q.R,"MISC,STJ,ACCR",purchase,account_group_70,7201,7201
